course_id,userid_DI,final_cc_cname_DI,LoE_DI,YoB,gender,ndays_act
HarvardX/CB22x/2013_Spring,MHxPC130340661,"Other North & Central Amer., Caribbean",Secondary,1993,f,2
HarvardX/CB22x/2013_Spring,MHxPC130594714,Canada,Secondary,1991,m,4
HarvardX/CB22x/2013_Spring,MHxPC130558121,United States,Secondary,1994,m,6
HarvardX/CB22x/2013_Spring,MHxPC130302514,United States,Secondary,1974,m,3
HarvardX/CB22x/2013_Spring,MHxPC130560898,United States,Master's,1983,m,7
HarvardX/CB22x/2013_Spring,MHxPC130530881,United States,Doctorate,1967,m,3
HarvardX/CB22x/2013_Spring,MHxPC130210140,Other East Asia,Bachelor's,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130246989,Mexico,Secondary,1992,m,4
HarvardX/CB22x/2013_Spring,MHxPC130146728,China,Master's,1981,m,11
HarvardX/CB22x/2013_Spring,MHxPC130505354,Brazil,Bachelor's,1990,m,4
HarvardX/CB22x/2013_Spring,MHxPC130367178,India,Bachelor's,1990,f,0
HarvardX/CB22x/2013_Spring,MHxPC130448862,United States,Master's,1987,m,2
HarvardX/CB22x/2013_Spring,MHxPC130280343,Brazil,Master's,1972,f,9
HarvardX/CB22x/2013_Spring,MHxPC130592767,United States,Master's,1962,m,5
HarvardX/CB22x/2013_Spring,MHxPC130255042,United States,Secondary,1995,f,0
HarvardX/CB22x/2013_Spring,MHxPC130334535,United States,Bachelor's,1988,m,11
HarvardX/CB22x/2013_Spring,MHxPC130312227,United States,Less than Secondary,1996,f,2
HarvardX/CB22x/2013_Spring,MHxPC130129940,Brazil,Secondary,1987,m,6
HarvardX/CB22x/2013_Spring,MHxPC130284970,United States,Master's,1977,m,7
HarvardX/CB22x/2013_Spring,MHxPC130431841,United States,Bachelor's,1961,f,0
HarvardX/CB22x/2013_Spring,MHxPC130536137,Unknown/Other,Bachelor's,1986,m,0
HarvardX/CB22x/2013_Spring,MHxPC130237842,United States,Secondary,1993,f,1
HarvardX/CB22x/2013_Spring,MHxPC130117598,Other Europe,Bachelor's,1986,m,1
HarvardX/CB22x/2013_Spring,MHxPC130242898,Other Europe,Secondary,1993,m,54
HarvardX/CB22x/2013_Spring,MHxPC130520755,United States,Bachelor's,1989,m,14
HarvardX/CB22x/2013_Spring,MHxPC130461288,United States,Master's,1977,m,1
HarvardX/CB22x/2013_Spring,MHxPC130478394,Other Europe,Master's,1983,f,2
HarvardX/CB22x/2013_Spring,MHxPC130142159,India,Bachelor's,1990,f,1
HarvardX/CB22x/2013_Spring,MHxPC130542534,United States,Secondary,1993,m,2
HarvardX/CB22x/2013_Spring,MHxPC130587829,Other Africa,Bachelor's,1987,f,3
HarvardX/CB22x/2013_Spring,MHxPC130162846,Other East Asia,Secondary,1994,m,1
HarvardX/CB22x/2013_Spring,MHxPC130160539,Other Europe,Secondary,1991,f,8
HarvardX/CB22x/2013_Spring,MHxPC130321106,United States,Bachelor's,1977,f,0
HarvardX/CB22x/2013_Spring,MHxPC130140571,Other Europe,Secondary,1989,m,1
HarvardX/CB22x/2013_Spring,MHxPC130238851,United Kingdom,Bachelor's,1982,m,3
HarvardX/CB22x/2013_Spring,MHxPC130516765,Other Middle East/Central Asia,Master's,1988,f,1
HarvardX/CB22x/2013_Spring,MHxPC130464767,United Kingdom,Master's,1987,m,1
HarvardX/CB22x/2013_Spring,MHxPC130254986,United Kingdom,Bachelor's,1968,m,1
HarvardX/CB22x/2013_Spring,MHxPC130143029,Other Europe,Less than Secondary,1994,m,1
HarvardX/CB22x/2013_Spring,MHxPC130382847,United Kingdom,Master's,1980,f,4
HarvardX/CB22x/2013_Spring,MHxPC130357994,Philippines,Secondary,1995,m,5
HarvardX/CB22x/2013_Spring,MHxPC130159293,Other South America,Bachelor's,1990,m,2
HarvardX/CB22x/2013_Spring,MHxPC130041077,India,Secondary,1993,m,1
HarvardX/CB22x/2013_Spring,MHxPC130216772,United Kingdom,Secondary,1992,f,7
HarvardX/CB22x/2013_Spring,MHxPC130537092,United States,Bachelor's,1953,f,11
HarvardX/CB22x/2013_Spring,MHxPC130067345,United Kingdom,Bachelor's,1989,f,12
HarvardX/CB22x/2013_Spring,MHxPC130475007,Unknown/Other,Secondary,1994,f,0
HarvardX/CB22x/2013_Spring,MHxPC130493315,Other South Asia,Bachelor's,1985,m,3
HarvardX/CB22x/2013_Spring,MHxPC130234844,United States,Secondary,1955,f,0
HarvardX/CB22x/2013_Spring,MHxPC130303963,United States,Secondary,1991,f,2
HarvardX/CB22x/2013_Spring,MHxPC130219600,United States,Secondary,1993,m,5
HarvardX/CB22x/2013_Spring,MHxPC130430385,Brazil,Bachelor's,1980,m,2
HarvardX/CB22x/2013_Spring,MHxPC130411600,United States,Master's,1984,m,10
HarvardX/CB22x/2013_Spring,MHxPC130355017,Brazil,Secondary,1992,f,4
HarvardX/CB22x/2013_Spring,MHxPC130380241,United States,Master's,1985,m,5
HarvardX/CB22x/2013_Spring,MHxPC130124222,India,Bachelor's,1992,m,1
HarvardX/CB22x/2013_Spring,MHxPC130035669,United States,Secondary,1978,m,0
HarvardX/CB22x/2013_Spring,MHxPC130130133,United States,Bachelor's,1983,f,0
HarvardX/CB22x/2013_Spring,MHxPC130594020,Other Europe,Bachelor's,1984,m,0
HarvardX/CB22x/2013_Spring,MHxPC130308526,United States,Bachelor's,1961,f,6
HarvardX/CB22x/2013_Spring,MHxPC130486849,India,Master's,1984,m,3
HarvardX/CB22x/2013_Spring,MHxPC130102745,Brazil,Bachelor's,1984,m,8
HarvardX/CB22x/2013_Spring,MHxPC130510820,Unknown/Other,Bachelor's,1984,m,0
HarvardX/CB22x/2013_Spring,MHxPC130210046,United States,Doctorate,1980,m,2
HarvardX/CB22x/2013_Spring,MHxPC130472601,United States,Secondary,1994,f,1
HarvardX/CB22x/2013_Spring,MHxPC130334818,United States,Secondary,1974,m,0
HarvardX/CB22x/2013_Spring,MHxPC130323094,"Other North & Central Amer., Caribbean",Secondary,1988,m,3
